id	type	Não Ambíguo	Testável	Prioritizável	Valioso	Entendível	Conciso	Consistente	Completo	Negociável	Factível	Independente	Estimável	Atômico	Pequeno
Projeto2_GRAZIELE_Cenario_9	BDD	Claramente definido afim de que seja facilmente definido se a solução atende ao requisito ou não.	É possível verificar se o requisito foi desenvolvido corretamente e completamente.	Rankeado, agrupado ou negociado em termos de importância e valor em relação aos outros requisitos.	O requisito é valioso para o cliente, está de acordo com uma necessidade real do cliente.	Utiliza terminologia que permite o entendimento do cliente.	Não é necessário informações externas para o entendimento.	Alinhado com as necessiadades dos stakeholders e não conflitante com outros requisitos.	Suficiente para guiar o trabalho no nível apropriado de detalhe.	É possível que alguns detalhes sejam criados pelo programador durante o desenvolvimento, trazendo a essência do que tem que ser feito, não os detalhes.	É possível de ser realizado.	É possível de ser trabalhado como se fosse independente dos demais requisitos.	É possível ser estimado quanto tempo será necessário para trabalhar na tarefa.	Capaz de ser entendido separadamente do restante.	Requisito pequeno, que exija pouco tempo de trabalho para ser atendido.
Projeto2_WALTER_Template_Definicoes	Definitions	Se o cenário é entendido da mesma forma por todos.	Se o cenário explica quais critérios precisa atender.	Se é possível classificar o cenário quanto ao valor sendo entregue para o cliente.	Se o cenário, ao ser desenvolvido, entrega valor para o usuário.	Se o cenário tem uma escrita clara, não ambigua.	Se o cenário explica a necessidade do usuário, sem entrar em detalhes não relevantes.	Se a terminologia utilizada é a mesma em todos os pontos, se não existem falhas quanto ao que é solicitado.	Se o cenário apresenta toda a informação relevante que permita o entendimento do que o cliente necessita.		Se o cenário é possível de ser desenvolvido.	Se o cenário não tem dependência de outros cenários.	Se o cenário consegue ser interpretado em termos de esforço para cria-lo.	Se o cenário é auto contido, ou seja, não tem dependências.	Se o cenário está do tamanho adequado para desenvolvimento.
Projeto2_JULIA_UC_FT2_(2)	Use case	É não ambíguo pois não deixa margem para diferentes interpretações.	É testável pois é possível verificar se o requisito foi atendido.	É prioritizável por ser possível atribuir uma prioridade a esse requisito.	É valioso pois a implementação desse requisito agrega valor ao cliente.	É entendível pois foi escrito de maneira clara.	É conciso por ser sucinto, não adicionando informações desnecessárias.	É consistente pois vai ao encontro das necessidades do cliente e não é conflitante com outros requisitos.	É completo pois está suficientemente detalhado.	É negociável pois deixa margem para que decisões detalhadas sejam feitas pelos envolvidos posteriormente.	É factível pois pode ser executado dentro das restrições do projeto.	É dependente pois depende da implementação do fluxo principal para ser implementado.	O esforço para a execução desse fluxo de eventos é possível de ser estimado.	É atômico porque não pode ser dividido e pode ser entendido independentemente.	É pequeno pois pode ser desenvolvido com esforço relativamente pequeno.
Projeto1_WALTER_Proj01-Feat11-Cen01	BDD	Sim, a estória apresenta um texto claro e direto.	Sim, pois a funcionalidade a ser desenvolvida é clara.	Não, pois não foi rankeado.	Sim, pois representa uma feature importante para o usuário.	Sim, é claro e utiliza linguagem comum a todos os envolvidos.	É conciso, pois não contém informações não pertinentes ao cenário.	É consistente, pois não entra em conflito com outros cenários e atende a necessidade do cliente.	É completo, pois fornece informação suficiente para iniciar o desenvolvimento.	Sim, pois é conciso e capta apenas a essência do que precisa ser feito.	Não é possível classifica-lo, pois não temos informações que nos permitam avaliar este ponto.	Não vejo como independente, visto que pressupõe outra feature (US03)	Não.	Sim, pois é autocontido.	Sim, representa uma pequena feature da aplicação.
Projeto2_JULIA_UC_FT1_(4)	Use case	É não ambíguo pois não deixa margem para diferentes interpretações.	É testável pois é possível verificar se o requisito foi atendido.	É prioritizável por ser possível atribuir uma prioridade a esse requisito.	É valioso pois a implementação desse requisito agrega valor ao cliente.	É entendível pois foi escrito de maneira clara.	É conciso por ser sucinto, não adicionando informações desnecessárias.	É consistente pois vai ao encontro das necessidades do cliente e não é conflitante com outros requisitos.	É completo pois está suficientemente detalhado.	É negociável pois deixa margem para que decisões detalhadas sejam feitas pelos envolvidos posteriormente.	É factível pois pode ser executado dentro das restrições do projeto.	É dependente pois depende do fluxo principal para ser implementado.	O esforço para a execução desse fluxo de eventos é possível de ser estimado.	Não é atômico porque depende do fluxo principal para ser entendido.	É pequeno pois pode ser desenvolvido com esforço relativamente pequeno.
Projeto1_WALTER_Proj01-Feat03-Cen01	BDD	Sim, a estória apresenta um texto claro e direto.	Sim, pois a funcionalidade a ser desenvolvida é clara.	Não, pois não foi rankeado.	Sim, pois representa uma feature importante para o usuário.	Sim, é claro e utiliza linguagem comum a todos os envolvidos.	É conciso, pois não contém informações não pertinentes ao cenário.	É consistente, pois não entra em conflito com outros cenários e atende a necessidade do cliente.	É completo, pois fornece informação suficiente para iniciar o desenvolvimento.	Sim, pois é conciso e capta apenas a essência do que precisa ser feito.	Não é possível classifica-lo, pois não temos informações que nos permitam avaliar este ponto.	Não vejo como independente, visto que pressupõe outra feature (US03)	Não.	Sim, pois é autocontido.	Sim, representa uma pequena feature da aplicação.
Projeto1_WALTER_Proj01-Feat01-Cen02	BDD	Sim, a estória apresenta um texto claro e direto.	Sim, pois a funcionalidade a ser desenvolvida é clara.	Não, pois não foi rankeado.	Sim, pois representa uma feature importante para o usuário.	Sim, é claro e utiliza linguagem comum a todos os envolvidos.	É conciso, pois não contém informações não pertinentes ao cenário.	É consistente, pois não entra em conflito com outros cenários e atende a necessidade do cliente.	É completo, pois fornece informação suficiente para iniciar o desenvolvimento.	Sim, pois é conciso e capta apenas a essência do que precisa ser feito.	Não é possível classifica-lo, pois não temos informações que nos permitam avaliar este ponto.	Não vejo como independente, visto que pressupõe outra feature (US03)	Não.	Sim, pois é autocontido.	Sim, representa uma pequena feature da aplicação.
Projeto1_LUCAS_UC6	Use case	Não é ambíguo, visto que não informa o fluxo que precisa ser feito.	Não é testavel visto que não informa o fluxo que precisa ser feito.	Não é priorizável, visto que não informa o fluxo que precisa ser feito.	É valioso porque é uma funcionalidade que está liga diretamente ao negócio.	Não é entendivel visto que não informa o fluxo que precisa ser feito.	Não é conciso pois apresenta outro caso de uso junto ao principal, como o de reclamar no SAC.	Não é concistente, uma vez que não fala da funcionalidade e sim de capacidades do cliente.	Não é completo pois o caso de uso não indica o sequencia de eventos e sim as possibilidados do cliente.	Não é negociavel visto que não informa o fluxo que precisa ser feito.	Não é factivel visto que não informa o fluxo que precisa ser feito.	É independente pois não mostra ligação com outros casos de uso.	Não é estimavel visto que não informa o fluxo que precisa ser feito.	Aparenta ser atomico pois não tem ligação com outros processos.	Não é pequeno visti que aparenta ter mais de um caso de uso especificado.
Projeto2_RAFAEL_Template_Definicoes	Definitions	É não ambiguo quando não existe outro requisito igual.         	É possível testa-lo, quando sabe-se seu comportamento.         	É prioritizavel, De acordo com a necessidade.         	É valioso, quando é um requisito crítico para o sistema.         	É entendivel, quando utiliza um vocabulário de fácil compreensão.         	É conciso quando não contem informação desnecessária.         	É consistente quando é alinhado com as necessidades do requisito.         	É completo quando apresenta seu fluxo principal o detalhamento necessário para seu funcionamento         	É negociável, quando é possível mudar seu escopo de acordo com a necessidade.         	É factivel, quando se encontra dentro do escopo do projeto.         	Não é independente, quando necessita que outros requisitos estejam prontos antes de executa-lo.         	É estimável, quando as funcionalidades podem ser mensuradas em sua complexidade.         	É atômico quando um requisito que é auto-contido, sendo independente de outro requisito para ser entendido         	É pequeno, quando pode ser feito em pouco tempo com poucos recursos.         
Projeto1_LUCAS_UC1	Use case	É ambiguo pois tem muitas maneiras de ser implementada a funcionalidade a partir da descrição.	Não é tentável, critérios para aceitação não estão claros.	É de difícil priorização visto que a especificação é muito ampla.	É valioso porque é uma funcionalidade que está liga diretamente ao negócio.	É entendível, porque está usando termos relativos a funcionalidade e autores envolvidos.	É conciso pois tem somente necessário para essa funcionalidade descrito.	É consistente pois está de acordo com o que a funcionalidade pedia.	É completo pois possui dados suficiente para executa-lo.	É negociável porque não impõem os detalhes da implementação o que permite ser discutido os detalhes.	É factível porque contem informações para se fazer protótipos ou experimentos.	Não é independente porque o primeiro item listado já mostra uma forte ligação com outro processo.	Não é estimável porque a especificação está muito ampla.	Não é atomico visto que o primeiro item já expressa um fluxo não relativo a feature.	Não é pequeno porque o escopo fica aberto a muito alternativas de implementação de variados tamanhos.
